Depth,OB,VP,Temp,PP,GR,NPHI,CALI,LITHO,RHOB,RDEP
0,178.280968656,1818.8315424676748,40.0,0.0,64.4974823,,19.406000137,,1.7890000343,1.5749928951
1,180.92874559226698,1818.8315424676748,40.0524928,1.4496674112,64.4974823,,19.406000137,,1.7890000343,1.5749928951
2,183.59346419572177,1818.8315424676748,40.1049856,2.8993348224,64.4974823,,19.406000137,,1.7890000343,1.5749928951
3,186.2695425028652,1818.8315424676748,40.1574784,4.3490022336,64.4974823,,19.406000137,,1.7890000343,1.5749928951
4,188.9544082574797,1818.8315424676748,40.2099712,5.7986696448,64.4974823,,19.406000137,,1.7890000343,1.5749928951
5,191.64653888622388,1818.8315424676748,40.262464,7.2483370560000004,64.4974823,,19.406000137,,1.7890000343,1.5749928951
6,194.34491368128926,1818.8315424676748,40.3149568,8.6980044672,64.4974823,,19.406000137,,1.7890000343,1.5749928951
7,197.04879448857506,1818.8315424676748,40.3674496,10.1476718784,64.4974823,,19.406000137,,1.7890000343,1.5749928951
8,199.75761937869578,1818.8315424676748,40.4199424,11.5973392896,64.4974823,,19.406000137,,1.7890000343,1.5749928951
9,202.47094438458058,1818.8315424676748,40.4724352,13.047006700799999,64.4974823,,19.406000137,,1.7890000343,1.5749928951
10,205.1884087147059,1818.8315424676748,40.524928,14.496674112000001,64.4974823,,19.406000137,,1.7890000343,1.5749928951
11,207.90971261261615,1818.8315424676748,40.5774208,15.9463415232,64.4974823,,19.406000137,,1.7890000343,1.5749928951
12,210.63460254975786,1818.8315424676748,40.6299136,17.3960089344,64.4974823,,19.406000137,,1.7890000343,1.5749928951
13,213.362860922767,1818.8315424676748,40.6824064,18.845676345599998,64.4974823,,19.406000137,,1.7890000343,1.5749928951
14,216.09429864881656,1818.8315424676748,40.7348992,20.2953437568,64.4974823,,19.406000137,,1.7890000343,1.5749928951
15,218.8287496980077,1818.8315424676748,40.787392,21.745011168,64.4974823,,19.406000137,,1.7890000343,1.5749928951
16,221.5660669625417,1818.8315424676748,40.8398848,23.1946785792,64.4974823,,19.406000137,,1.7890000343,1.5749928951
17,224.30611907387515,1818.8315424676748,40.8923776,24.644345990399998,64.4974823,,19.406000137,,1.7890000343,1.5749928951
18,227.04878790809414,1818.8315424676748,40.9448704,26.094013401599998,64.4974823,,19.406000137,,1.7890000343,1.5749928951
19,229.79396660123308,1818.8315424676748,40.9973632,27.543680812799998,64.4974823,,19.406000137,,1.7890000343,1.5749928951
20,232.54155794929017,1818.8315424676748,41.049856,28.993348224000002,64.4974823,,19.406000137,,1.7890000343,1.5749928951
21,235.29147310310753,1818.8315424676748,41.1023488,30.4430156352,64.4974823,,19.406000137,,1.7890000343,1.5749928951
22,238.04363049249304,1818.8315424676748,41.1548416,31.8926830464,64.4974823,,19.406000137,,1.7890000343,1.5749928951
23,240.7979549308527,1818.8315424676748,41.2073344,33.342350457600006,64.4974823,,19.406000137,,1.7890000343,1.5749928951
24,243.55437686360693,1818.8315424676748,41.259827200000004,34.7920178688,64.4974823,,19.406000137,,1.7890000343,1.5749928951
25,246.31283173233956,1818.8315424676748,41.31232,36.24168528,64.4974823,,19.406000137,,1.7890000343,1.5749928951
26,249.07325943299372,1818.8315424676748,41.3648128,37.691352691199995,64.4974823,,19.406000137,,1.7890000343,1.5749928951
27,251.83560385116036,1818.8315424676748,41.4173056,39.1410201024,64.4974823,,19.406000137,,1.7890000343,1.5749928951
